,count,mean,std,min,25%,50%,75%,max
Bulk_Volume_km3,9.0,459.23394444444443,837.6191458872598,0.0005,0.1,30.0,500.0,2500.0
Deterministic_Bulk_Volume_m3,9.0,459233944444.44446,837619145887.2599,500000.0,100000000.0,30000000000.0,500000000000.0,2500000000000.0
Probabilistic_Bulk_Volume_m3,9.0,520492523155.4085,773826090032.4037,443878105.91412354,7388868330.204834,106874609729.87933,661924577280.4493,1900249582852.8633
Mean_Mass_Det_kg,9.0,498220525035180.9,908731794906422.0,542455788.2681203,108490338355.23187,32546990654270.418,542443105035264.44,2712250019814901.5
Std_Mass_Det_kg,9.0,13901716792119.008,25354653239075.535,15135161.368653513,3027579742.7294626,908339985726.8527,15137666339638.629,75673528590241.72
Mean_Mass_Prob_kg,9.0,565018132109928.6,840011864082257.8,481867150943.7749,8021236024372.627,116020558890250.25,718560429019311.2,2062767826897521.5
Std_Mass_Prob_kg,9.0,94904289396959.28,141082113944232.1,80908047753.86993,1347096325982.0579,19482883837025.59,120758172559317.94,346402386354296.06
Det_Volume_5th,9.0,2300000.0,0.0,2300000.0,2300000.0,2300000.0,2300000.0,2300000.0
Uncertainty_Det_Volume_5th,9.0,230000.0,0.0,230000.0,230000.0,230000.0,230000.0,230000.0
Prob_Volume_5th,9.0,913649198.2307007,1.2644054553268208e-07,913649198.2307007,913649198.2307007,913649198.2307007,913649198.2307007,913649198.2307007
Uncertainty_Prob_Volume_5th,9.0,91364919.82307008,1.580506819158526e-08,91364919.82307008,91364919.82307008,91364919.82307008,91364919.82307008,91364919.82307008
Det_Volume_25th,9.0,100000000.0,0.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
Uncertainty_Det_Volume_25th,9.0,10000000.0,0.0,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0
Prob_Volume_25th,9.0,7388868330.204834,0.0,7388868330.204834,7388868330.204834,7388868330.204834,7388868330.204834,7388868330.204834
Uncertainty_Prob_Volume_25th,9.0,738886833.0204835,0.0,738886833.0204835,738886833.0204835,738886833.0204835,738886833.0204835,738886833.0204835
Det_Volume_50th,9.0,30000000000.0,0.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0
Uncertainty_Det_Volume_50th,9.0,3000000000.0,0.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0,3000000000.0
Prob_Volume_50th,9.0,106874609729.87933,0.0,106874609729.87933,106874609729.87933,106874609729.87933,106874609729.87933,106874609729.87933
Uncertainty_Prob_Volume_50th,9.0,10687460972.987934,2.0230487285229133e-06,10687460972.987934,10687460972.987934,10687460972.987934,10687460972.987934,10687460972.987934
Det_Volume_75th,9.0,500000000000.0,0.0,500000000000.0,500000000000.0,500000000000.0,500000000000.0,500000000000.0
Uncertainty_Det_Volume_75th,9.0,50000000000.0,0.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0,50000000000.0
Prob_Volume_75th,9.0,661924577280.4493,0.0,661924577280.4493,661924577280.4493,661924577280.4493,661924577280.4493,661924577280.4493
Uncertainty_Prob_Volume_75th,9.0,66192457728.04494,0.0,66192457728.04494,66192457728.04494,66192457728.04494,66192457728.04494,66192457728.04494
Det_Volume_95th,9.0,1899999999999.9995,0.0002589502372509329,1899999999999.9995,1899999999999.9995,1899999999999.9995,1899999999999.9995,1899999999999.9995
Uncertainty_Det_Volume_95th,9.0,189999999999.99997,0.0,189999999999.99997,189999999999.99997,189999999999.99997,189999999999.99997,189999999999.99997
Prob_Volume_95th,9.0,1848553188180.3892,0.0002589502372509329,1848553188180.3892,1848553188180.3892,1848553188180.3892,1848553188180.3892,1848553188180.3892
Uncertainty_Prob_Volume_95th,9.0,184855318818.03894,0.0,184855318818.03894,184855318818.03894,184855318818.03894,184855318818.03894,184855318818.03894
Mass_5th,9.0,408908323866144.06,607957032257766.1,348786709795.91266,5804319141903.809,83974677293495.98,519864557228687.5,1493014580194315.0
Mass_25th,9.0,501017560045657.1,744875155900166.8,427290582337.75525,7112171244300.424,102879456042992.89,637121036823766.0,1829178505941940.8
Mass_50th,9.0,565015728156262.5,840008411398883.1,481814375289.37085,8021535013202.132,116021345187491.28,718559938604582.2,2062692646829113.0
Mass_75th,9.0,629048328763598.5,935198437803731.1,536442583985.782,8929664150116.246,129160284030703.78,800032098307958.5,2296483646673941.0
Mass_95th,9.0,721104244927600.5,1072035715716860.6,614997699418.4178,10236250919993.32,148064192404433.78,917205778953627.1,2632447258407245.5
Uncertainty_Mass_5th,9.0,40890832386614.41,60795703225776.61,34878670979.59127,580431914190.3809,8397467729349.599,51986455722868.75,149301458019431.5
Uncertainty_Mass_25th,9.0,50101756004565.71,74487515590016.67,42729058233.77553,711217124430.0425,10287945604299.29,63712103682376.6,182917850594194.1
Uncertainty_Mass_50th,9.0,56501572815626.266,84000841139888.33,48181437528.93709,802153501320.2133,11602134518749.129,71855993860458.23,206269264682911.3
Uncertainty_Mass_75th,9.0,62904832876359.86,93519843780373.11,53644258398.5782,892966415011.6246,12916028403070.379,80003209830795.86,229648364667394.12
Uncertainty_Mass_95th,9.0,72110424492760.06,107203571571686.06,61499769941.84179,1023625091999.332,14806419240443.379,91720577895362.72,263244725840724.56
Best_Mass_Estimate,9.0,312195921061456.5,464078709522964.7,266210989622.5052,4431931778089.512,64089515110937.8,397341221724939.6,1139432678212930.5
Best_Mass_Estimate_Uncertainty,9.0,82897367581020.44,123242538204620.81,70701792001.34923,1176736816786.7234,17021971536494.818,105428914383508.17,302636268562917.44
